date, Madrid,Delhi,Beijing,Hong Kong,Los-Angeles,New-York,Paris,Seoul,California,Wuhan
2019/4/13,40,197,94,66,44,25,36,79,55,55
2019/4/14,46,168,142,71,44,21,51,73,51,51
2019/4/15,53,217,149,64,50,40,52,58,43,43
2019/4/16,53,155,108,106,51,40,73,48,54,54
2019/4/17,37,183,123,130,50,30,44,19,51,51
2019/4/18,50,158,132,66,46,15,70,66,48,48
2019/4/19,52,148,104,57,49,12,70,117,49,49
2019/4/20,30,119,82,49,57,22,113,116,57,57
2019/4/21,49,116,88,56,68,34,80,84,53,53
2019/4/22,50,119,138,69,45,39,92,71,44,44
2019/4/23,53,100,151,44,34,22,75,86,85,85
2019/4/24,55,94,163,68,56,25,83,82,83,83
2019/4/25,36,80,70,73,70,13,86,90,66,66
2019/4/26,37,100,133,97,69,33,74,83,45,45
2019/4/27,38,131,160,68,74,116,64,95,17,17
2019/4/28,40,172,183,71,71,35,61,87,24,24
2019/4/29,43,115,121,76,66,28,71,132,27,27
2019/4/30,42,162,83,54,58,26,68,148,34,34
2019/5/1,44,149,122,53,36,30,74,139,44,44
2019/5/2,43,182,156,54,29,32,75,74,60,60
2019/5/3,41,162,176,55,43,27,74,27,58,58
2019/5/4,45,160,168,59,59,19,60,47,61,61
2019/5/5,33,119,104,60,63,24,42,60,82,82
2019/5/6,35,162,71,68,69,22,50,71,67,67
2019/5/7,41,140,109,76,53,13,38,88,37,37
2019/5/8,55,101,110,71,27,15,42,106,52,52
2019/5/9,42,132,135,63,27,42,64,65,57,57
2019/5/10,40,167,180,70,29,20,98,107,53,53
2019/5/11,41,242,167,61,35,42,108,155,63,63
2019/5/12,48,161,145,79,31,28,87,139,64,64
2019/5/13,45,241,214,68,39,49,59,47,58,58
2019/5/14,46,227,161,87,46,11,49,73,60,60
2019/5/15,50,184,145,60,50,20,47,93,48,48
2019/5/16,57,170,78,46,68,27,63,94,67,67
2019/5/17,48,220,79,34,56,33,61,124,68,68
2019/5/18,51,180,98,42,34,15,45,131,59,59
2019/5/19,35,129,132,51,41,21,45,124,47,47
2019/5/20,38,154,115,43,45,12,54,132,22,22
2019/5/21,40,121,140,61,28,5,61,110,41,41
2019/5/22,49,147,162,82,28,8,56,153,59,59
2019/5/23,50,98,181,67,38,18,52,142,61,61
2019/5/24,58,156,86,82,33,19,54,130,74,74
2019/5/25,52,165,141,69,48,36,56,67,80,80
2019/5/26,34,150,175,64,44,54,55,45,75,75
2019/5/27,44,145,155,70,43,32,74,55,48,48
2019/5/28,54,200,162,65,33,33,60,84,34,34
2019/5/29,50,107,106,63,33,45,92,103,29,29
2019/5/30,55,104,88,59,46,11,61,141,58,58
2019/5/31,41,122,65,72,53,16,71,156,56,56
2019/6/1,44,164,80,84,70,24,68,137,28,28
2019/6/2,51,91,106,89,70,13,68,90,47,47
2019/6/3,52,157,107,83,47,11,63,62,45,45
2019/6/4,53,119,135,86,40,30,64,37,46,46
2019/6/5,53,164,149,62,47,22,56,92,39,39
2019/6/6,52,184,104,44,65,40,41,98,59,59
2019/6/7,39,160,41,50,71,22,44,55,64,64
2019/6/8,47,151,61,52,61,21,59,97,20,20
2019/6/9,42,140,92,57,50,40,36,90,32,32
2019/6/10,54,163,90,64,56,48,58,86,49,49
2019/6/11,45,154,68,64,63,44,64,76,23,23
2019/6/12,37,149,112,50,57,11,58,129,21,21
2019/6/13,40,158,133,45,59,15,49,129,38,38
2019/6/14,48,170,104,50,67,45,58,46,38,38
2019/6/15,55,148,150,55,68,28,43,70,44,44
2019/6/16,47,164,161,51,56,43,40,94,41,41
2019/6/17,52,126,137,55,58,26,34,37,22,22
2019/6/18,54,126,151,40,61,17,40,44,38,38
2019/6/19,59,132,102,42,44,32,56,72,47,47
2019/6/20,50,154,31,39,51,12,44,79,40,40
2019/6/21,51,105,96,44,51,17,48,81,38,38
2019/6/22,47,103,132,62,48,12,39,84,38,38
2019/6/23,47,72,118,63,26,18,39,48,22,22
2019/6/24,56,156,84,62,34,25,56,65,19,19
2019/6/25,55,118,102,73,47,39,48,89,31,31
2019/6/26,50,163,76,65,54,40,44,94,43,43
2019/6/27,57,145,86,69,51,43,57,70,43,43
2019/6/28,65,111,137,60,43,24,61,78,31,31
2019/6/29,63,83,158,45,51,39,59,22,44,44
2019/6/30,55,133,161,52,55,18,50,27,31,31
2019/7/1,53,138,145,42,55,17,54,50,39,39
2019/1/2,60,138,130,37,55,19,54,68,36,36
2019/1/3,57,130,75,41,65,49,65,63,31,31
2019/1/4,53,134,121,41,42,56,66,41,35,35
2019/1/12,46,135,114,49,41,46,69,81,54,54
2019/1/13,57,326,134,49,60,35,84,59,54,54
2019/1/14,57,376,125,56,66,41,74,74,47,47
2019/1/15,68,408,141,57,35,48,58,90,49,49
2019/1/16,59,286,75,52,30,21,62,82,42,42
2019/1/17,67,272,53,50,36,40,59,82,47,47
2019/1/18,91,176,17,52,55,62,61,135,51,51
2019/1/19,72,229,116,87,51,49,51,116,64,64
2019/1/20,83,200,118,87,70,64,57,86,73,73
2019/1/21,75,202,204,66,32,44,73,118,79,79
2019/1/22,39,225,63,80,30,51,77,76,103,103
2019/1/23,49,285,52,164,28,33,86,84,91,91
2019/1/24,39,383,147,91,25,53,74,112,45,45
2019/1/25,29,299,95,79,21,47,50,156,46,46
2019/1/26,35,167,50,134,23,45,45,166,52,52
2019/1/27,34,206,121,88,51,42,56,173,73,73
2019/1/28,50,334,166,82,44,42,76,204,60,60
2019/1/30,47,301,186,108,32,40,63,154,43,43
2019/1/31,38,279,282,167,17,47,42,72,62,62
2019/2/1,36,306,201,95,28,58,50,86,65,65
2019/2/2,30,311,207,111,38,64,58,113,42,42
2019/2/3,36,257,42,96,41,33,65,162,48,48
2019/2/4,41,118,118,76,35,58,47,105,44,44
2019/2/5,51,198,122,69,36,43,83,84,38,38
2019/2/6,71,152,163,82,40,34,73,116,71,71
2019/2/7,59,157,52,96,76,49,86,126,64,64
2019/2/8,66,162,43,68,92,51,137,82,57,57
2019/2/9,63,196,85,83,67,46,106,82,65,65
2019/2/10,68,195,93,150,55,39,67,78,41,41
2019/2/11,67,211,77,142,38,48,119,80,54,54
2019/2/12,44,270,186,136,20,44,96,86,37,37
2019/2/13,35,214,53,118,24,45,46,89,61,61
2019/2/14,53,241,70,144,24,44,37,114,69,69
2019/2/15,57,227,129,124,16,50,50,83,77,77
2019/2/16,60,187,85,74,14,52,64,71,54,54
2019/2/17,66,217,183,75,39,64,54,121,30,30
2019/2/18,53,240,79,72,45,49,63,107,35,35
2019/2/19,59,241,48,90,35,60,66,118,40,40
2019/2/20,68,155,127,83,22,70,73,100,38,38
2019/2/21,77,142,186,89,25,68,67,121,52,52
2019/2/22,84,154,97,96,33,71,77,103,40,40
2019/2/23,78,199,119,101,33,29,69,69,49,49
2019/2/24,70,203,179,114,23,33,70,70,38,38
2019/2/25,71,237,141,123,29,41,53,79,51,51
2019/2/26,73,244,40,65,20,40,41,88,35,35
2019/2/27,72,232,80,70,19,29,48,124,44,44
2019/2/28,58,186,38,72,13,47,35,82,42,42
2019/3/1,57,177,83,52,24,23,54,98,52,52
2019/3/2,58,167,112,67,33,55,95,103,65,65
2019/3/3,61,174,86,56,27,48,100,145,64,64
2019/3/4,58,190,75,75,31,51,96,92,52,52
2019/3/5,52,153,133,58,34,28,113,97,57,57
2019/3/6,51,150,42,54,44,12,135,117,70,70
2019/3/7,49,143,38,63,54,32,114,136,53,53
2019/3/8,40,135,49,54,63,27,93,162,61,61
2019/3/9,50,160,96,54,52,27,66,157,69,69
2019/3/10,49,171,175,54,46,36,112,127,85,85
2019/3/11,61,130,94,80,48,45,133,142,86,86
2019/3/12,51,101,176,84,27,39,143,152,80,80
2019/3/13,41,172,195,80,21,27,83,98,109,109
2019/3/14,43,108,229,65,20,43,75,141,120,120
2019/3/15,39,209,153,43,46,39,85,157,98,98
2019/3/16,45,148,151,70,28,18,93,177,53,53
2019/3/17,53,140,139,81,20,35,129,177,50,50
2019/3/18,54,151,172,88,20,40,89,169,48,48
2019/3/19,43,157,165,91,29,46,59,201,48,48
2019/3/20,36,160,197,72,38,48,55,210,63,63
2019/3/21,33,165,250,79,37,38,42,187,72,72
2019/3/22,43,135,215,72,40,39,37,121,45,45
2019/3/23,52,141,172,65,42,38,44,97,52,52
2019/3/24,55,157,147,63,36,38,54,107,58,58
2019/3/25,60,123,36,67,28,39,33,120,46,46
2019/3/26,53,162,66,40,35,48,34,139,43,43
2019/3/27,51,166,150,54,38,32,44,127,43,43
2019/3/28,59,135,166,55,54,28,40,48,60,60
2019/3/29,48,152,183,61,67,31,44,82,77,77
2019/3/30,55,156,64,66,34,43,51,115,41,41
2019/3/31,54,168,28,84,32,34,42,106,38,38
2019/4/1,57,164,36,96,38,53,37,90,29,29
2018/10/2,53,201,34,103,42,23,40,90,33,33
2018/10/3,45,84,43,90,49,20,41,128,49,49
2018/10/4,38,126,81,76,55,27,41,169,59,59
2018/10/5,50,121,130,90,52,34,49,96,79,79
2018/10/6,57,144,175,88,43,43,68,75,69,69
2018/10/7,65,146,193,95,28,23,89,64,44,44
2018/10/8,52,163,153,97,44,24,90,59,40,40
2018/10/9,36,212,49,62,42,31,107,104,41,41
2018/10/10,44,176,33,61,40,27,111,119,28,28
2018/10/11,49,185,46,46,44,41,105,156,29,29
2018/10/12,59,128,109,46,42,23,57,138,33,33
2018/10/13,56,206,99,77,32,31,53,78,29,29
2018/10/14,59,160,118,74,29,27,78,91,17,17
2018/10/15,45,248,144,73,33,50,108,91,11,11
2018/10/16,36,262,108,84,52,49,87,37,34,34
2018/10/17,49,307,70,67,50,41,88,63,29,29
2018/10/18,39,209,25,67,51,44,99,71,34,34
2018/10/19,49,276,41,87,47,38,44,53,25,25
2018/10/20,42,249,32,109,45,24,50,25,22,22
2018/10/21,31,272,38,94,32,47,48,14,28,28
2018/10/22,49,267,51,90,39,18,64,50,43,43
2018/10/23,58,308,114,104,31,18,81,36,44,44
2018/10/24,53,302,161,101,44,43,74,57,60,60
2018/10/25,60,272,29,94,35,23,65,49,52,52
2018/10/26,62,155,38,91,40,28,66,36,42,42
2018/10/27,66,172,48,95,37,27,76,59,22,22
2018/10/28,57,187,19,90,33,13,81,88,27,27
2018/10/29,30,220,28,109,24,12,48,89,44,44
2018/10/30,45,249,32,83,30,7,57,127,44,44
2018/10/31,46,261,107,71,52,21,65,101,53,53
2018/11/1,43,305,165,73,65,29,60,74,57,57
2018/11/2,55,360,200,69,73,16,69,36,49,49
2018/11/3,50,310,204,73,67,28,80,42,46,46
2018/11/4,42,366,140,89,78,19,67,82,42,42
2018/11/5,56,374,96,74,71,29,77,88,33,33
2018/11/6,50,367,100,49,72,27,92,111,21,21
2018/11/7,36,277,116,84,87,23,94,108,22,22
2018/11/8,41,310,153,75,105,27,109,78,38,38
2018/11/9,53,327,186,71,67,32,77,81,34,34
2018/11/10,38,310,211,75,60,27,60,79,48,48
2018/11/11,38,329,45,92,53,22,60,26,54,54
2018/11/12,36,391,125,77,49,19,72,34,59,59
2018/11/13,41,272,163,89,58,16,67,36,49,49
2018/11/14,46,155,25,129,70,22,55,52,59,59
2018/11/15,55,172,42,88,66,31,67,55,82,82
2018/11/16,54,187,17,85,49,42,70,82,60,60
2018/11/17,51,220,21,70,55,52,56,100,15,15
